Language,Articles,All pages,Edits,Admins,Users,Active users,Files
Khmer,11833,36800,329004,2,48164,170,808
Zulu,11820,26156,117328,1,24590,54,0
Shona,11497,20499,112389,1,20043,29,0
Ligurian,11455,28116,265266,7,18914,48,30
Banjar,11449,34967,107104,3,16675,68,2
Eastern Mari,11327,31244,201437,1,16132,24,0
Moroccan Arabic,10922,90888,459567,3,18310,56,337
Kara-Kalpak,10892,28831,180428,3,14840,54,85
Tachelhit,10882,14941,77800,3,22598,34,0
Manipuri,10454,17376,59708,3,26618,33,0
Western Mari,10429,21168,107434,1,12035,15,0
Hakka Chinese,10386,19923,132750,1,35753,47,0
Pampanga,10144,23260,310439,2,23999,37,394
Rusyn,10143,22326,161427,1,34377,48,87
Talysh,10049,13847,123711,2,26604,30,1
Uyghur,9610,16997,172774,1,24826,38,0
Somali,9515,29328,290526,1,43080,199,0
Tarantino,9497,18906,150711,3,12885,25,148
Kinyarwanda,8887,17689,126372,2,16928,83,0
Bhojpuri,8859,80638,785552,2,38943,45,54
Northern Sotho,8784,11493,53246,1,8126,25,0
Corsican,8605,18022,398302,2,26230,61,0
Kashmiri,8367,20506,123343,2,13268,38,75
West Flemish,8225,22454,323097,4,29865,46,348
Low Saxon,8063,21952,331483,6,33679,47,561
M?ori,8019,15443,166462,2,22029,34,0
Northern Sami,7906,21133,305473,5,32597,26,0
Erzya,7867,31495,153364,3,14626,24,0
Sardinian,7736,17542,187301,4,28110,33,157
Maltese,7666,23533,326263,4,26514,76,697
Moksha,7615,23722,101673,2,11352,22,0
Tibetan,7442,21049,156056,4,33747,56,0
Zeelandic,7099,13557,169785,3,15230,34,1
Cornish,7096,14777,223332,3,17935,31,6
Veps,7078,38131,182973,1,17773,28,0
Turkmen,7054,17541,266482,2,32414,94,332
Manx,7046,39288,367492,3,22516,30,121
Kabyle,7009,17988,114295,1,15845,25,0
Võro,6872,13038,183719,4,16053,49,50
Gan,6815,34473,400462,2,69947,39,40
Inari Sami,6495,28377,140788,4,6401,27,0
Abkhazian,6478,32905,158597,2,23786,33,9
Picard,6036,12026,78160,2,20623,43,50
Guarani,5981,14073,135931,2,21876,36,0
Arpitan,5814,18035,229890,2,18938,32,0
Komi,5731,19794,147286,1,16391,29,0
Udmurt,5714,20057,129028,2,16978,23,8
Kashubian,5499,8900,190228,3,18889,30,0
Aymara,5246,8917,102032,1,18840,29,0
Lao,5228,15736,121848,4,22006,53,39
Norman,5055,10683,220985,1,14875,15,0
Old English,5035,21253,226906,1,135353,79,264
Papiamento,5014,10415,175377,5,17381,30,0
Friulian,4886,11194,181670,2,16295,40,296
Lingala,4841,11470,133614,4,15193,27,34
Livvi-Karelian,4642,13998,38820,2,8298,27,0
Twi,4624,8594,134677,3,17757,22,0
Lingua Franca Nova,4498,7201,42217,1,15929,35,0
Lezghian,4452,14934,97537,3,12420,27,11
Ganda,4418,8758,44084,1,10457,47,0
Mirandese,4283,10737,105792,1,14816,29,0
Nahuatl,4282,13348,523469,2,24105,21,168
Saterland Frisian,4129,10819,123722,4,14782,11,381
Ghanaian Pidgin,4100,21936,82175,2,4397,42,0
Extremaduran,4074,9154,139656,2,19538,35,0
Tuvinian,4052,14520,51284,1,10666,23,0
Avaric,4003,18792,96713,2,17028,33,0
Ladino,3889,13634,215442,4,23955,36,21
Romansh,3813,9784,167922,2,22703,26,48
Goan Konkani,3643,8906,213976,4,11434,21,0
Doteli,3632,22213,246024,2,7893,25,3
Tswana,3565,7835,45721,1,12133,34,4
Komi-Permyak,3468,13439,63497,1,9656,16,0
Lower Sorbian,3427,11633,146758,1,20513,34,0
Fon,3342,5065,28876,2,1978,40,0
Toki Pona,3285,8264,46771,4,1447,101,0
Chavacano,3235,8990,116879,2,16080,27,0
Divehi,3192,12507,136892,2,27539,28,896
Betawi,3079,7450,32717,6,2698,62,0
Colognian,3038,10801,1609500,3,24705,19,0
Gagauz,3013,7801,74816,1,16158,27,0
Zhuang,3005,5569,42766,1,12189,21,0
Hawaiian,2966,6205,100228,1,20219,29,0
Southern Dagaare,2963,6490,57446,1,1404,30,0
Russia Buriat,2911,11322,74066,1,17194,20,8
Pa'O,2909,8709,32636,1,2682,16,0
Tulu,2900,17445,211948,5,8455,33,13
Palatine German,2832,7073,92745,4,13530,16,0
Sakizaya,2735,6314,139631,1,3970,19,0
Karachay-Balkar,2661,16830,120775,2,11689,32,0
Komering,2660,4373,31165,0,1168,14,0
Pangasinan,2619,6741,79112,1,9511,25,0
Atayal,2582,3294,62846,1,2560,16,0
Awadhi,2557,6231,29490,2,4696,33,0
Ingush,2412,16104,70918,2,5806,22,37
Xhosa,2319,5574,39854,1,15333,29,0
Atikamekw,2077,3290,16730,9,5791,20,0
Pennsylvania German,2045,6051,107235,1,37848,37,0
Tongan,2043,5536,43857,2,12408,14,12
Madurese,2002,11310,42013,4,4198,42,0
Mon,1963,6794,47344,3,4934,16,0
Oromo,1962,5343,45246,1,13113,26,0
Aramaic,1916,6574,97162,2,23136,21,0
