Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
Kara-Kalpak,Qaraqalpaqsha,kaa,10892,28831,180428,3,14840,54,85,16
Tachelhit,Tacl?it,shi,10882,14941,77800,3,22598,34,0,0
Manipuri,???? ???,mni,10454,17376,59708,3,26618,33,0,1
Western Mari,????? ????,mrj,10429,21168,107434,1,12035,15,0,5
Hakka Chinese,??? / Hak-kâ-ngî,hak,10386,19923,132750,1,35753,47,0,5
Pampanga,Kapampangan,pam,10144,23260,310439,2,23999,37,394,22
Rusyn,??????????,rue,10143,22326,161427,1,34377,48,87,10
Talysh,tol??i,tly,10049,13847,123711,2,26604,30,1,1
Uyghur,???????? / Uyghurche,ug,9610,16997,172774,1,24826,38,0,6
Somali,Soomaaliga,so,9515,29328,290526,1,43080,199,0,42
Tarantino,tarandíne,roa-tara,9497,18906,150711,3,12885,25,148,7
Kinyarwanda,Ikinyarwanda,rw,8887,17689,126372,2,16928,83,0,7
Bhojpuri,???????,bh,8859,80638,785552,2,38943,45,54,639
Northern Sotho,Sesotho sa Leboa,nso,8784,11493,53246,1,8126,25,0,0
Corsican,corsu,co,8605,18022,398302,2,26230,61,0,26
Kashmiri,?????,ks,8367,20506,123343,2,13268,38,75,12
West Flemish,West-Vlams,vls,8225,22454,323097,4,29865,46,348,43
Low Saxon,Nedersaksies,nds-nl,8063,21952,331483,6,33679,47,561,44
M?ori,M?ori,mi,8019,15443,166462,2,22029,34,0,9
Northern Sami,davvisámegiella,se,7906,21133,305473,5,32597,26,0,40
Erzya,??????,myv,7867,31495,153364,3,14626,24,0,43
Sardinian,sardu,sc,7736,17542,187301,4,28110,33,157,17
Maltese,Malti,mt,7666,23533,326263,4,26514,76,697,59
Moksha,???????,mdf,7615,23722,101673,2,11352,22,0,19
Tibetan,???????,bo,7442,21049,156056,4,33747,56,0,24
Zeelandic,Zeêuws,zea,7099,13557,169785,3,15230,34,1,10
Cornish,kernowek,kw,7096,14777,223332,3,17935,31,6,17
Veps,vepsän kel’,vep,7078,38131,182973,1,17773,28,0,92
Turkmen,Türkmençe,tk,7054,17541,266482,2,32414,94,332,33
Manx,Gaelg,gv,7046,39288,367492,3,22516,30,121,195
Kabyle,Taqbaylit,kab,7009,17988,114295,1,15845,25,0,15
Võro,võro,fiu-vro,6872,13038,183719,4,16053,49,50,11
Gan,??,gan,6815,34473,400462,2,69947,39,40,191
Inari Sami,anarâškielâ,smn,6495,28377,140788,4,6401,27,0,56
Abkhazian,??????,ab,6478,32905,158597,2,23786,33,9,80
Picard,Picard,pcd,6036,12026,78160,2,20623,43,50,6
Guarani,Avañe'?,gn,5981,14073,135931,2,21876,36,0,17
Arpitan,arpetan,frp,5814,18035,229890,2,18938,32,0,56
Komi,????,kv,5731,19794,147286,1,16391,29,0,44
Udmurt,??????,udm,5714,20057,129028,2,16978,23,8,40
Kashubian,kaszëbsczi,csb,5499,8900,190228,3,18889,30,0,8
Aymara,Aymar aru,ay,5246,8917,102032,1,18840,29,0,5
Lao,???,lo,5228,15736,121848,4,22006,53,39,31
Norman,Nouormand,nrm,5055,10683,220985,1,14875,15,0,25
Old English,Ænglisc,ang,5035,21253,226906,1,135353,79,264,110
Papiamento,Papiamentu,pap,5014,10415,175377,5,17381,30,0,19
Friulian,furlan,fur,4886,11194,181670,2,16295,40,296,27
Lingala,lingála,ln,4841,11470,133614,4,15193,27,34,21
Livvi-Karelian,livvinkarjala,olo,4642,13998,38820,2,8298,27,0,11
Twi,Twi,tw,4624,8594,134677,3,17757,22,0,11
Lingua Franca Nova,Lingua Franca Nova,lfn,4498,7201,42217,1,15929,35,0,2
Lezghian,?????,lez,4452,14934,97537,3,12420,27,11,36
Ganda,Luganda,lg,4418,8758,44084,1,10457,47,0,4
Mirandese,Mirandés,mwl,4283,10737,105792,1,14816,29,0,22
Nahuatl,N?huatl,nah,4282,13348,523469,2,24105,21,168,175
Saterland Frisian,Seeltersk,stq,4129,10819,123722,4,14782,11,381,30
Ghanaian Pidgin,Ghanaian Pidgin,gpe,4100,21936,82175,2,4397,42,0,70
Extremaduran,estremeñu,ext,4074,9154,139656,2,19538,35,0,23
Tuvinian,???? ???,tyv,4052,14520,51284,1,10666,23,0,23
Avaric,????,av,4003,18792,96713,2,17028,33,0,70
Ladino,Ladino,lad,3889,13634,215442,4,23955,36,21,99
Romansh,rumantsch,rm,3813,9784,167922,2,22703,26,48,42
Goan Konkani,?????? ?????? / Gõychi Konknni,gom,3643,8906,213976,4,11434,21,0,50
Doteli,??????,dty,3632,22213,246024,2,7893,25,3,289
Tswana,Setswana,tn,3565,7835,45721,1,12133,34,4,8
Komi-Permyak,????? ????,koi,3468,13439,63497,1,9656,16,0,39
Lower Sorbian,dolnoserbski,dsb,3427,11633,146758,1,20513,34,0,72
Fon,f??ngbè,fon,3342,5065,28876,2,1978,40,0,1
Toki Pona,toki pona,tok,3285,8264,46771,4,1447,101,0,13
Chavacano,Chavacano de Zamboanga,cbk-zam,3235,8990,116879,2,16080,27,0,41
Divehi,??????????,dv,3192,12507,136892,2,27539,28,896,93
Betawi,Betawi,bew,3079,7450,32717,6,2698,62,0,8
Colognian,Ripoarisch,ksh,3038,10801,1609500,3,24705,19,0,972
Gagauz,Gagauz,gag,3013,7801,74816,1,16158,27,0,24
Zhuang,Vahcuengh,za,3005,5569,42766,1,12189,21,0,5
Hawaiian,Hawai?i,haw,2966,6205,100228,1,20219,29,0,19
Southern Dagaare,Dagaare,dga,2963,6490,57446,1,1404,30,0,12
Russia Buriat,??????,bxr,2911,11322,74066,1,17194,20,8,54
Pa'O,?????????????,blk,2909,8709,32636,1,2682,16,0,14
Tulu,????,tcy,2900,17445,211948,5,8455,33,13,305
Palatine German,Pälzisch,pfl,2832,7073,92745,4,13530,16,0,29
Sakizaya,Sakizaya,szy,2735,6314,139631,1,3970,19,0,37
